GenName	ExpressionLevel
GENE.1	4.08978084585563e-07
GENE.2	0.0
GENE.3	8.52037676219896e-09
GENE.4	9.10828275879098e-06
GENE.5	1.26271983615793e-05
GENE.6	1.9460540524863e-05
GENE.7	1.23545463051889e-05
GENE.8	3.39622217741262e-05
GENE.9	2.30646598952729e-05
GENE.10	2.3064659895274e-05
GENE.11	2.181216451123e-05
GENE.12	1.10764897908003e-07
GENE.13	1.10764897909006e-07
GENE.14	5.1599401671879e-05
GENE.15	8.52037676198937e-09
GENE.16	8.52037676201648e-09
GENE.17	0.0
GENE.18	3.3578804819827e-05
GENE.19	0.0
GENE.20	0.0
GENE.21	0.0
GENE.22	0.0
GENE.23	0.0
GENE.24	0.0
GENE.25	5.695019827854e-05
GENE.26	5.11222605730204e-08
GENE.27	1.5404841186056e-05
GENE.28	1.6606214309526e-05
GENE.29	1.6623255063051e-05
GENE.30	2.53055189837297e-06
GENE.31	5.96426373360398e-08
GENE.32	1.43142329604896e-06
GENE.33	1.3956377136483e-05
GENE.34	7.49793155072954e-07
GENE.35	1.3215104358171e-05
GENE.36	1.3198063604647e-05
GENE.37	1.3087298706738e-05
GENE.38	1.44846404957018e-07
GENE.39	8.01767453322997e-06
GENE.40	3.83416954299008e-07
GENE.41	1.7040753524033e-08
GENE.42	8.52037676198937e-09
GENE.43	3.4379720235474e-05
GENE.44	2.0815280430053e-05
GENE.45	4.3317595459021e-05
GENE.46	2.55611302859681e-08
GENE.47	1.32406654884579e-05
GENE.48	1.2005210857939e-05
GENE.49	5.11222605732047e-07
GENE.50	5.19742982494037e-07
GENE.51	2.47090926103004e-07
GENE.52	2.4709092610398e-07
GENE.53	3.66376200774975e-07
GENE.54	0.00024950219272748
GENE.55	0.000249169898033753
GENE.56	0.00025079728999534
GENE.57	1.61887158479966e-07
GENE.58	1.70407535198588e-08
GENE.59	2.47431741174301e-05
GENE.60	2.47261333638999e-05
GENE.61	7.24402432322202e-05
GENE.62	1.36581639497999e-05
GENE.63	8.52037677001247e-09
GENE.64	6.81630140900603e-08
GENE.65	3.66376200780071e-07
GENE.66	3.6637620076988e-07
GENE.67	4.51579968399965e-07
GENE.68	0.0
GENE.69	8.52037676003781e-09
GENE.70	7.77058360713011e-06
GENE.71	2.00228853911e-06
GENE.72	8.52037676979563e-09
GENE.73	0.00027428796872871
GENE.74	7.98359302618006e-06
GENE.75	4.55840156777989e-06
GENE.76	4.55840156778011e-06
GENE.77	9.32981255460995e-06
GENE.78	2.70777573502701e-05
GENE.79	2.70692369734999e-05
GENE.80	2.704367584322e-05
GENE.81	2.27749670853601e-05
GENE.82	8.52037676003781e-09
GENE.83	2.286869122975e-05
GENE.84	2.286869122974e-05
GENE.85	1.42290291928996e-06
GENE.86	1.42290291927998e-06
GENE.87	8.70782505096998e-06
GENE.88	3.15253940200112e-07
GENE.89	0.00013324165180727
GENE.90	1.07356747203798e-05
GENE.91	0.0
GENE.92	0.0
GENE.93	0.0
GENE.94	0.0
GENE.95	0.0
GENE.96	0.0
GENE.97	2.55611302866013e-06
GENE.98	2.5731537821802e-06
GENE.99	0.0
GENE.100	0.0
GENE.101	0.0
GENE.102	0.0
GENE.103	0.0
GENE.104	8.52037676003781e-09
GENE.105	8.75042693477971e-06
GENE.106	4.51579968399965e-07
GENE.107	5.50416338838001e-06
GENE.108	1.62739196158009e-06
GENE.109	5.5893671559999e-06
GENE.110	4.00457707822998e-06
GENE.111	9.05716049822e-06
GENE.112	9.05716049822e-06
GENE.113	1.61887158480183e-07
GENE.114	8.52037676003781e-09
GENE.115	1.70407535300503e-08
GENE.116	8.52037676003781e-09
GENE.117	6.69701613508975e-06
GENE.118	6.69701613509018e-06
GENE.119	2.47090926100077e-07
GENE.120	2.47090926100077e-07
GENE.121	2.47090926109618e-07
GENE.122	2.47090926100077e-07
GENE.123	2.47090926110052e-07
GENE.124	1.70407535200756e-08
GENE.125	0.0
GENE.126	6.81630140998181e-08
GENE.127	1.35047971680804e-05
GENE.128	2.773382636096e-05
GENE.129	4.69302352061997e-05
GENE.130	5.24003170875031e-06
GENE.131	3.72681279578596e-05
GENE.132	1.53366781720145e-07
GENE.133	1.10935305443799e-05
GENE.134	6.304226766351e-05
GENE.135	1.10764897909982e-07
GENE.136	0.0
GENE.137	0.0
GENE.138	0.0
GENE.139	5.262184688335e-05
GENE.140	2.13009419054904e-05
GENE.141	6.73961801889991e-06
GENE.142	8.52037676003781e-09
GENE.143	0.0
GENE.144	0.0
GENE.145	8.52037677001247e-09
GENE.146	0.0
GENE.147	0.0
GENE.148	8.52037676003781e-09
GENE.149	7.0548719590998e-06
GENE.150	1.95968665529875e-07
GENE.151	2.93015756852003e-05
GENE.152	2.88414753400498e-05
GENE.153	2.12498196449202e-05
GENE.154	2.293685424384e-05
GENE.155	3.83416954299713e-07
GENE.156	6.0494675012011e-07
GENE.157	0.00066015027115843
GENE.158	0.00065909374443993
GENE.159	8.52037676003781e-09
GENE.160	1.30106153158798e-05
GENE.161	1.37944899780001e-05
GENE.162	1.72111610596002e-06
GENE.163	8.52037676003781e-09
GENE.164	0.0
GENE.165	0.0
GENE.166	5.11222605797425e-08
GENE.167	0.0
GENE.168	4.08978084585031e-06
GENE.169	0.00014113152068907
GENE.170	0.00014113152068907
GENE.171	0.00014113152068907
GENE.172	7.40420740634982e-06
GENE.173	3.863990861657e-05
GENE.174	2.42575126419807e-05
GENE.175	6.44566502060392e-05
GENE.176	1.20989350023068e-06
GENE.177	7.87708831665301e-05
GENE.178	7.82511401840394e-05
GENE.179	7.94780744378006e-05
GENE.180	7.94780744377893e-05
GENE.181	8.45562189880703e-05
GENE.182	2.19229294091405e-05
GENE.183	1.47317314218394e-05
GENE.184	2.99917262029398e-05
GENE.185	2.98468797979802e-05
GENE.186	1.34110730237004e-05
GENE.187	9.35537368489982e-06
GENE.188	2.69158701917899e-05
GENE.189	6.04946750110136e-07
GENE.190	6.13467126879715e-07
GENE.191	8.52037676003781e-09
GENE.192	2.98468797979906e-05
GENE.193	0.00010660695404863
GENE.194	3.40815070496922e-08
GENE.195	9.37241443899062e-08
GENE.196	6.34597661248607e-05
GENE.197	4.260188380973e-08
GENE.198	9.98928971600197e-05
GENE.199	1.65976939327604e-05
GENE.200	3.89977644405896e-05
GENE.201	3.80094007361702e-05
GENE.202	9.27954233171102e-05
GENE.203	6.81630140993844e-08
GENE.204	3.66546608309808e-05
GENE.205	5.85349883563003e-06
GENE.206	4.36243290224958e-06
GENE.207	6.91854593090017e-06
GENE.208	2.63450049487199e-05
GENE.209	0.0
GENE.210	0.0
GENE.211	2.85006602695603e-05
GENE.212	0.00012195215259736
GENE.213	3.77367486797796e-05
GENE.214	2.28686912297398e-05
GENE.215	3.37406919783019e-06
GENE.216	3.4677933422201e-06
GENE.217	0.0
GENE.218	7.88390461806303e-05
GENE.219	4.40503478604977e-06
GENE.220	9.20200690318011e-06
GENE.221	9.02307899116987e-06
GENE.222	9.19348652640966e-06
GENE.223	9.61098498775993e-06
GENE.224	2.35247602404301e-05
GENE.225	4.43059591639927e-07
GENE.226	8.33292847343074e-06
GENE.227	5.19742982489808e-07
GENE.228	5.11222605801762e-08
GENE.229	0.0
GENE.230	8.52037676003781e-09
GENE.231	7.89157295714897e-05
GENE.232	7.90861371067295e-05
