Chromosome	Position	GeneID	truth	cufflinks
chr1	3204562	GENE.1	0.0	1.6941193506
chr1	4763278	GENE.5	42.733803431565676	0.8450050486
chr1	4763278	GENE.6	15.319303112367754	0.4315267977
chr1	4847774	GENE.9	28.30089834238826	0.9116830154
chr1	4899656	GENE.12	110.19587725974077	3.0499966767
chr1	5073253	GENE.14	340.5491810384345	8.8878968167
chr1	5903787	GENE.17	0.0	2.2997848988
chr1	6204742	GENE.18	134.11875413236422	3.0647321618
chr1	6349411	GENE.19	25.29309837847648	1.0473436336
chr1	6720131	GENE.22	127.21625939798713	72.3363313694
chr1	6720131	GENE.23	27.287160076364668	68.4739490534
chr1	6720131	GENE.24	7913.272816927297	283.2990293093
chr1	7079000	GENE.25	24.509940515840164	0.6030589336
chr1	9535488	GENE.27	86.87317028289223	2.0475072927
chr1	9538126	GENE.29	800.0234340016611	46.6736644387
chr1	9591347	GENE.31	670.0199984295004	16.0785725641
chr1	9713277	GENE.33	25.235325198077952	0.6085507369
chr1	9788210	GENE.35	527.5165120940711	14.3585474002
chr1	9838361	GENE.37	134.04796700099163	3.421531515
chr1	9898718	GENE.38	322.8740608732428	8.0019837377
chr1	9932550	GENE.40	21.812966906253674	51.0950140476
chr1	9958706	GENE.41	9006.55904918986	248.5943529515
chr1	10014911	GENE.43	50.0851228291381	1.3069035046
chr1	10314807	GENE.46	132.88705572940492	4.4634156066
chr1	10983545	GENE.47	90.14605538170959	2.1084243301
chr1	11254043	GENE.48	282.6487123731354	6.3033984763
chr1	11404185	GENE.50	134.2698627133327	3.1472289764
chr1	11404185	GENE.52	318.63845014784295	10.512270119
chr1	12682510	GENE.54	50.8775334773419	0.9210823155
chr1	12682510	GENE.55	97.35634868931457	2.6598516738
chr1	12856630	GENE.57	587.2161522985314	13.4227757856
chr1	13103508	GENE.58	1526.8011282581147	61.2044477108
chr1	13129239	GENE.59	105.30023344054393	2.1114132346
chr1	13129239	GENE.60	10.036132329587833	0.4550704789
chr1	13554782	GENE.61	95.94784958417907	2.3884460331
chr1	13615979	GENE.62	533.5884062099569	17.5801371676
chr1	13658851	GENE.63	154.58087312589137	4.0100585002
chr1	13775765	GENE.64	0.0	14.4095699416
chr1	14159038	GENE.66	339.7315021251438	7.708694969
chr1	14743428	GENE.67	114.72193245972532	2.6266091397
chr1	15795738	GENE.70	145.19418428964988	4.7733355956
chr1	15843942	GENE.71	47.05681046079	1.0921257274
chr1	16056059	GENE.72	88.04961443888047	2.081041489
chr1	16091375	GENE.73	337.1953570861559	9.9363780487
chr1	16095962	GENE.74	44.779153849381174	1.1093375013
chr1	16218890	GENE.76	35.3737387199454	0.9084957639
chr1	16558754	GENE.78	216.95877260230444	6.1224721562
chr1	16558754	GENE.79	842.1702005544895	20.4358378751
chr1	16647632	GENE.82	42.650557243528525	1.0237233596
chr1	16655271	GENE.83	119.39448899641734	3.5817523758
chr1	16655271	GENE.84	278.9675282629656	6.9628301081
chr1	16678536	GENE.85	32.34199464788796	0.8893881606
chr1	16985020	GENE.87	33.765906056256114	0.8308069242
chr1	17591981	GENE.89	185.38728790352923	4.4016933245
chr1	18105271	GENE.91	142.93918470447736	4.0101947894
chr1	19198994	GENE.97	55.19639868090048	1.6705988291
chr1	19202134	GENE.98	56.32855324602583	1.0566518424
chr1	20047859	GENE.99	83.50201404227536	1.9428005314
chr1	20669090	GENE.101	0.0	1.0978834798
chr1	20672849	GENE.102	0.0	4.8169886584
chr1	20720985	GENE.103	532.0799203332449	15.1198790518
chr1	20767229	GENE.104	68.53500126971011	1.9627211804
chr1	20793094	GENE.105	85.44965668404215	2.2406697608
chr1	20878730	GENE.106	167.66121527407955	4.6138263944
chr1	20880702	GENE.107	123.92265633347674	2.9825801861
chr1	20941706	GENE.108	440.8234643527406	11.318214295
chr1	21230669	GENE.111	98.45754809547634	2.6376568391
chr1	21275326	GENE.113	88.73815573012529	2.5259513057
chr1	21339757	GENE.114	191.30779864447666	4.7712544004
chr1	21358411	GENE.115	438.3900939761056	12.4290163847
chr1	21373636	GENE.116	624.4162670209199	15.6992905679
